Masked ID,Started on,Completed,Grade/4,Q. 1 /3,Q. 2 /1
602961,14/2/18 10:14,22/2/18 18:19,0,0,0
551102,14/2/18 10:52,14/2/18 11:00,2,2,0
595789,14/2/18 12:27,14/2/18 14:08,3,3,0
463521,14/2/18 13:26,17/2/18 16:32,3,3,0
610197,14/2/18 17:04,14/2/18 17:31,1,1,0
570210,14/2/18 17:10,14/2/18 17:53,0,0,0
610197,14/2/18 18:25,14/2/18 18:34,3,3,0
596922,14/2/18 23:12,14/2/18 23:50,2,2,0
561786,14/2/18 23:48,15/2/18 0:37,3,3,0
566461,15/2/18 0:39,23/2/18 16:00,1,1,0
563231,15/2/18 8:08,4/3/18 23:02,2,2,0
581232,15/2/18 12:03,15/2/18 12:26,0,0,0
604645,15/2/18 13:25,15/2/18 13:54,0,0,0
429987,15/2/18 17:32,23/2/18 12:59,3,3,0
542824,15/2/18 18:42,17/2/18 21:42,3,3,0
590920,15/2/18 21:03,20/2/18 7:56,0,0,0
610197,16/2/18 4:08,16/2/18 4:15,1,1,0
518645,16/2/18 8:30,16/2/18 9:15,2,2,0
463818,16/2/18 18:17,16/2/18 18:22,3,3,0
530748,16/2/18 19:39,16/2/18 20:53,0,0,0
595740,16/2/18 20:48,17/2/18 18:53,0,0,0
587632,17/2/18 11:18,17/2/18 12:19,2,2,0
516526,17/2/18 13:54,17/2/18 16:57,0,0,0
535229,17/2/18 14:02,18/2/18 14:02,0,0,0
594626,17/2/18 14:35,17/2/18 15:10,3,3,0
515068,17/2/18 14:54,17/2/18 15:29,0,0,0
601807,17/2/18 16:06,17/2/18 18:11,1,1,0
609884,17/2/18 17:16,26/2/18 17:16,1,1,0
595131,17/2/18 17:34,20/2/18 22:38,3,3,0
553154,17/2/18 19:01,17/2/18 19:25,2,2,0
571320,17/2/18 22:03,18/2/18 0:40,2,2,0
643740,17/2/18 22:34,17/2/18 23:11,0,0,0
643624,18/2/18 0:06,18/2/18 0:26,2,2,0
594420,18/2/18 0:11,23/2/18 13:41,3,3,0
598370,18/2/18 0:15,20/2/18 14:33,0,0,0
595484,18/2/18 0:17,21/2/18 0:00,2,2,0
573591,18/2/18 0:27,21/2/18 12:22,1,1,0
577213,18/2/18 0:28,20/2/18 2:08,0,0,0
577852,18/2/18 0:32,18/2/18 0:42,0,0,0
550280,18/2/18 6:29,27/2/18 12:31,3,3,0
578402,18/2/18 7:38,28/2/18 15:36,0,0,0
481694,18/2/18 9:49,18/2/18 10:22,1,1,0
603057,18/2/18 9:54,18/2/18 10:03,3,3,0
563037,18/2/18 10:16,18/2/18 10:57,1,1,0
566842,18/2/18 11:35,22/2/18 14:19,1,1,0
589872,18/2/18 11:48,18/2/18 12:30,1,1,0
562672,18/2/18 11:55,18/2/18 21:30,2,2,0
563066,18/2/18 12:04,24/2/18 14:09,2,2,0
587134,18/2/18 12:50,26/2/18 10:39,3,3,0
541618,18/2/18 12:52,25/2/18 12:28,0,0,0
598867,18/2/18 12:58,18/2/18 21:16,1,1,0
305074,18/2/18 14:17,18/2/18 14:30,2,2,0
534393,18/2/18 15:21,19/2/18 12:01,0,0,0
449134,18/2/18 16:15,18/2/18 16:15,1,1,0
449134,18/2/18 16:32,22/2/18 1:23,0,0,0
576795,18/2/18 17:30,5/3/18 16:54,2,2,0
545607,18/2/18 17:37,18/2/18 18:25,1,1,0
590382,18/2/18 18:30,26/2/18 20:41,0,0,0
486125,18/2/18 19:40,18/2/18 19:56,2,2,0
549076,18/2/18 19:49,18/2/18 20:11,3,3,0
591152,18/2/18 21:35,19/2/18 11:28,1,1,0
521871,18/2/18 22:03,18/2/18 22:39,2,2,0
598014,18/2/18 22:09,18/2/18 22:58,1,1,0
575638,19/2/18 5:35,20/2/18 22:11,0,0,0
525829,19/2/18 10:06,19/2/18 10:37,1,1,0
597990,19/2/18 10:24,20/2/18 12:03,3,3,0
518131,19/2/18 10:44,8/3/18 22:10,0,0,0
577852,19/2/18 11:37,19/2/18 12:10,2,2,0
602980,19/2/18 14:15,24/2/18 6:38,0,0,0
591016,19/2/18 14:39,19/2/18 15:27,3,3,0
560595,19/2/18 16:53,19/2/18 18:02,2,2,0
563774,19/2/18 18:44,19/2/18 19:20,1,1,0
590911,19/2/18 18:54,20/2/18 13:52,2,2,0
603124,19/2/18 19:08,19/2/18 19:44,2,2,0
517862,19/2/18 20:51,19/2/18 22:35,3,3,0
590669,19/2/18 21:13,19/2/18 21:50,2,2,0
521077,20/2/18 0:27,22/2/18 14:08,3,3,0
422483,20/2/18 3:06,20/2/18 3:09,1,1,0
422483,20/2/18 3:13,20/2/18 3:53,1,1,0
570313,20/2/18 4:47,24/2/18 22:05,2,2,0
577117,20/2/18 5:30,20/2/18 7:20,3,3,0
524634,20/2/18 10:45,26/2/18 16:46,0,0,0
600361,20/2/18 15:51,21/2/18 22:37,0,0,0
595717,20/2/18 17:07,20/2/18 17:37,1,1,0
546664,20/2/18 17:26,22/2/18 21:48,0,0,0
602983,20/2/18 17:53,20/2/18 19:04,2,2,0
593403,20/2/18 18:53,20/2/18 19:41,2,2,0
595699,20/2/18 19:46,20/2/18 20:11,0,0,0
598867,20/2/18 20:31,20/2/18 21:05,0,0,0
539880,20/2/18 21:35,20/2/18 23:32,3,3,0
518114,20/2/18 21:43,8/3/18 22:04,3,3,0
566845,20/2/18 21:47,20/2/18 22:23,1,1,0
566845,20/2/18 22:31,20/2/18 22:35,3,3,0
566845,20/2/18 22:36,20/2/18 22:40,1,1,0
490150,20/2/18 23:17,21/2/18 0:03,2,2,0
575724,20/2/18 23:17,22/2/18 18:52,2,2,0
570688,20/2/18 23:24,21/2/18 0:19,2,2,0
604255,21/2/18 7:21,21/2/18 8:10,2,2,0
598370,21/2/18 10:10,21/2/18 10:40,3,3,0
519594,21/2/18 13:51,24/2/18 7:36,1,1,0
490209,21/2/18 14:48,28/2/18 13:21,2,2,0
444613,21/2/18 22:03,21/2/18 22:28,3,3,0
511283,21/2/18 22:29,24/2/18 22:21,1,1,0
576241,22/2/18 0:04,22/2/18 0:19,1,1,0
490904,22/2/18 0:16,22/2/18 0:49,1,1,0
601509,22/2/18 2:08,26/2/18 17:09,2,2,0
596998,22/2/18 3:46,26/2/18 13:59,1,1,0
550893,22/2/18 7:39,24/2/18 18:23,0,0,0
587637,22/2/18 10:24,22/2/18 11:37,1,1,0
603016,22/2/18 11:30,22/2/18 11:58,1,1,0
563259,22/2/18 13:25,22/2/18 13:57,2,2,0
486125,22/2/18 15:55,22/2/18 16:33,3,3,0
542292,22/2/18 16:03,22/2/18 17:04,1,1,0
595150,22/2/18 16:33,22/2/18 22:50,1,1,0
551102,22/2/18 16:55,22/2/18 17:32,2,2,0
575724,22/2/18 18:54,22/2/18 18:57,0,0,0
577280,22/2/18 19:00,22/2/18 19:44,1,1,0
577280,22/2/18 19:47,22/2/18 20:11,0,0,0
577280,22/2/18 20:18,22/2/18 20:22,3,3,0
523833,22/2/18 21:30,22/2/18 21:31,1,1,0
523833,22/2/18 21:32,23/2/18 21:53,0,0,0
554455,22/2/18 21:50,22/2/18 22:26,2,2,0
444613,22/2/18 21:53,22/2/18 22:10,2,2,0
602961,22/2/18 21:53,22/2/18 22:11,1,1,0
438223,23/2/18 5:44,23/2/18 8:17,3,3,0
569122,23/2/18 6:15,23/2/18 23:50,0,0,0
524740,23/2/18 8:17,23/2/18 17:34,0,0,0
523149,23/2/18 9:24,23/2/18 10:04,1,1,0
462572,23/2/18 10:35,24/2/18 18:08,3,3,0
541554,23/2/18 11:29,23/2/18 11:55,3,3,0
541554,23/2/18 11:56,23/2/18 17:32,2,2,0
565626,23/2/18 12:15,24/2/18 11:58,0,0,0
567398,23/2/18 12:26,23/2/18 13:23,1,1,0
603920,23/2/18 12:26,23/2/18 13:42,1,1,0
601874,23/2/18 13:28,23/2/18 13:50,1,1,0
540858,23/2/18 14:48,23/2/18 15:35,1,1,0
603920,23/2/18 14:51,23/2/18 15:11,3,3,0
463453,23/2/18 15:14,23/2/18 16:23,0,0,0
638188,23/2/18 15:35,23/2/18 17:43,1,1,0
4502773,23/2/18 15:51,24/2/18 1:36,0,0,0
517239,23/2/18 16:13,23/2/18 16:25,0,0,0
517239,23/2/18 16:29,23/2/18 16:38,1,1,0
595977,23/2/18 17:59,23/2/18 20:00,1,1,0
610194,23/2/18 18:00,23/2/18 18:45,3,3,0
587730,23/2/18 18:18,24/2/18 0:05,0,0,0
591099,23/2/18 19:12,25/2/18 16:41,0,0,0
550382,23/2/18 19:55,23/2/18 22:20,0,0,0
452811,23/2/18 20:13,2/3/18 17:29,1,1,0
596505,23/2/18 20:21,23/2/18 20:46,2,2,0
596505,23/2/18 20:47,23/2/18 20:54,1,1,0
596505,23/2/18 20:55,23/2/18 20:59,2,2,0
596505,23/2/18 21:00,23/2/18 21:05,0,0,0
587233,23/2/18 21:08,29/2/2018  2:29:00 pm,0,0,0
604532,23/2/18 21:27,24/2/18 0:04,2,2,0
523833,23/2/18 21:54,23/2/18 23:04,1,1,0
598529,23/2/18 22:02,1/3/18 23:20,3,3,0
595150,23/2/18 22:09,27/2/18 22:08,0,0,0
550382,23/2/18 22:22,23/2/18 22:27,3,3,0
550382,23/2/18 22:28,23/2/18 23:56,1,1,0
558614,23/2/18 22:52,23/2/18 23:26,3,3,0
523950,23/2/18 23:24,24/2/18 0:22,3,3,0
550382,23/2/18 23:58,24/2/18 0:05,0,0,0
550382,24/2/18 0:06,24/2/18 0:18,1,1,0
563828,24/2/18 0:06,24/2/18 0:55,2,2,0
463818,24/2/18 3:26,24/2/18 3:56,2,2,0
446940,24/2/18 4:10,24/2/18 5:13,3,3,0
515929,24/2/18 4:12,24/2/18 4:55,0,0,0
509625,24/2/18 4:51,24/2/18 17:46,0,0,0
543568,24/2/18 5:52,24/2/18 6:40,2,2,0
542211,24/2/18 8:17,24/2/18 9:18,2,2,0
542211,24/2/18 9:22,24/2/18 9:27,3,3,0
542211,24/2/18 9:28,24/2/18 9:28,0,0,0
542211,24/2/18 9:28,24/2/18 22:54,1,1,0
591256,24/2/18 9:52,24/2/18 10:44,3,3,0
570765,24/2/18 10:44,24/2/18 11:15,0,0,0
572454,24/2/18 11:04,24/2/18 11:24,2,2,0
598247,24/2/18 11:42,24/2/18 12:17,1,1,0
587166,24/2/18 11:47,24/2/18 12:12,2,2,0
610566,24/2/18 11:53,28/2/18 13:03,0,0,0
526867,24/2/18 12:00,24/2/18 14:04,0,0,0
517630,24/2/18 12:15,24/2/18 12:57,0,0,0
649513,24/2/18 12:40,24/2/18 17:33,3,3,0
