Masked ID,Started on,Completed,Grade/41,Q. 1 /5,Q. 2 /2,Q. 3 /5,Q. 4 /1,Q. 5 /1,Q. 6 /1,Q. 7 /1,Q. 8 /1,Q. 9 /1,Q. 10 /1,Q. 11 /1,Q. 12 /1,Q. 13 /1,Q. 14 /1,Q. 15 /1,Q. 16 /1,Q. 17 /1,Q. 18 /1,Q. 19 /1,Q. 20 /1,Q. 21 /1,Q. 22 /1,Q. 23 /1,Q. 24 /1,Q. 25 /1,Q. 26 /1,Q. 27 /1,Q. 28 /1,Q. 29 /1,Q. 30 /1,Q. 31 /1,Q. 32 /1
2299347,20/7/19 11:53,20/7/19 12:52,33,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1
2281102,20/7/19 13:59,20/7/19 14:37,26,5,2,4,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0
2274580,20/7/19 14:36,20/7/19 15:28,30,5,2,4,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,-,1,0,0
2298515,20/7/19 16:08,20/7/19 16:48,36,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
2269581,20/7/19 17:15,20/7/19 18:03,31,5,2,5,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1
2294999,20/7/19 18:08,20/7/19 19:47,34,4,2,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,-,-,-,1,1,1,1,1,1,1
2297012,20/7/19 20:50,20/7/19 21:18,31,5,2,4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,-,1,0,0,1,1,0,0,0
2280447,21/7/19 0:02,21/7/19 0:45,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
2260640,21/7/19 1:33,21/7/19 1:57,19,2,-,4,1,1,1,1,1,0,1,1,0,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0
2296584,21/7/19 1:35,21/7/19 1:58,30,5,2,5,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
2296200,15/7/19 8:39,21/7/19 3:08,27,5,2,5,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,-,-,-,1,1,-,0,0,0,0
2300877,21/7/19 10:15,21/7/19 10:45,24,5,2,4,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
2296067,21/7/19 12:34,21/7/19 12:54,31,5,2,5,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0
2278676,21/7/19 13:36,21/7/19 13:53,16,4,1,5,0,1,1,1,1,0,1,-,-,0,-,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2289507,21/7/19 3:15,21/7/19 14:56,29,4,2,5,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1
2289507,21/7/19 15:04,21/7/19 15:12,40,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2289507,21/7/19 15:13,21/7/19 15:18,41,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2271097,21/7/19 11:02,21/7/19 18:19,34,5,2,5,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0
2299488,21/7/19 18:16,21/7/19 22:05,33,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1
2276773,21/7/19 21:03,21/7/19 22:09,38,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2299420,21/7/19 22:15,21/7/19 22:19,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2299420,21/7/19 22:25,21/7/19 22:33,41,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2282473,22/7/19 0:22,22/7/19 0:58,34,5,2,5,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1
2248814,22/7/19 8:31,22/7/19 9:22,30,4,2,5,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0
2296915,22/7/19 15:24,22/7/19 18:12,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2281264,22/7/19 17:32,22/7/19 18:15,15,1,0,4,1,1,1,1,0,0,1,-,-,0,0,1,0,1,1,1,0,-,0,1,0,0,-,-,-,0,0,0,0
2261167,22/7/19 20:28,22/7/19 21:16,31,4,2,5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,-,-,-,1,1,-,1,1,0,0
2281264,22/7/19 21:11,22/7/19 22:03,28,4,2,5,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,-,1,1,1,1,-,-,-,1,0,0,0
2273276,22/7/19 23:14,22/7/19 23:45,32,5,1,5,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
2296983,22/7/19 12:44,23/7/19 12:19,32,4,0,5,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1
2295170,23/7/19 11:29,23/7/19 14:22,31,5,2,5,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
2277400,23/7/19 16:23,23/7/19 16:28,17,4,2,5,1,1,1,1,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2269163,23/7/19 17:40,23/7/19 18:14,22,3,2,4,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,-,-,-,0,0,-,0,0,1,1
2294390,21/7/19 20:50,23/7/19 18:58,33,4,0,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1
2299437,23/7/19 11:19,23/7/19 19:45,27,5,2,5,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2276504,23/7/19 21:08,23/7/19 22:06,37,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
