Masked ID,Started on,Completed,Grade/40,Q. 1 /5,Q. 2 /2,Q. 3 /5,Q. 4 /1,Q. 5 /1,Q. 6 /1,Q. 7 /1,Q. 8 /1,Q. 9 /1,Q. 10 /1,Q. 11 /1,Q. 12 /1,Q. 13 /1,Q. 14 /1,Q. 15 /1,Q. 16 /1,Q. 17 /1,Q. 18 /1,Q. 19 /1,Q. 20 /1,Q. 21 /1,Q. 22 /1,Q. 23 /1,Q. 24 /1,Q. 25 /1,Q. 26 /1,Q. 27 /1,Q. 28 /1,Q. 29 /1,Q. 30 /1,Q. 31 /1
602961,14/2/20 10:14,22/2/20 18:19,14,4,1,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551102,14/2/20 10:52,14/2/20 11:00,18,5,2,5,1,1,1,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
595789,14/2/20 12:27,14/2/20 14:08,30,5,2,4,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0
463521,14/2/20 13:26,17/2/20 16:32,13,2,2,4,1,1,1,1,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
610197,14/2/20 17:04,14/2/20 17:05,37,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
570210,14/2/20 17:10,14/2/20 17:53,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
610197,14/2/20 18:25,14/2/20 18:34,38,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
596922,14/2/20 23:12,14/2/20 23:50,29,5,2,5,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0
561786,14/2/20 23:48,15/2/20 0:37,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
566461,15/2/20 0:39,23/2/20 16:00,37,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,-,1
563231,15/2/20 8:08,4/3/20 23:02,21,4,1,5,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,-,-,-,-,1,0,1,0,0,0
581232,15/2/20 12:03,15/2/20 12:26,33,5,2,5,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0
604645,15/2/20 13:25,15/2/20 13:54,38,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
429987,15/2/20 17:32,23/2/20 12:59,29,5,2,3,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,-,-,-,1,1,-,0,1,0
542824,15/2/20 18:42,17/2/20 21:42,36,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-,1,1,1
590920,15/2/20 21:03,20/2/20 7:56,37,5,2,5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
610197,16/2/20 4:08,16/2/20 4:15,40,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
518645,16/2/20 8:30,16/2/20 9:15,33,5,2,5,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
463818,16/2/20 18:17,16/2/20 18:22,16,4,2,5,1,1,1,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
530748,16/2/20 19:39,16/2/20 20:53,35,5,2,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,1,1,1,0,1,1
595740,16/2/20 20:48,17/2/20 18:53,38,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
587632,17/2/20 11:18,17/2/20 12:19,26,4,2,4,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
516526,17/2/20 13:54,17/2/20 16:57,31,4,2,5,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,-,1,1
535229,17/2/20 14:02,18/2/20 14:02,32,5,2,5,1,1,1,1,1,1,1,-,-,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0
594626,17/2/20 14:35,17/2/20 15:10,37,5,2,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
515068,17/2/20 14:54,17/2/20 15:29,36,5,2,5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
601807,17/2/20 16:06,17/2/20 18:11,30,4,2,5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,-,-,-,-,0,0,0
609884,17/2/20 17:16,26/2/20 17:16,24,5,2,5,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,-,0,0,0
